project_id,category,location,project_cost,planned_duration_months,planned_progress,actual_progress,progress_deviation,expenditure_percentage,cost_progress_ratio,resource_availability,material_availability,workforce_availability,contractor_performance,delay_days,milestone_completion_rate,change_requests,weather_impact,previous_delay_count,risk_history,risk_level,predicted_delay_months,predicted_cost_overrun_percentage
PRJ-1001,Railway,Maharashtra,11735.43,57,31.2,22.8,8.4,23.3,1.022,84.1,79.0,82.6,70.8,44,77.5,2,1.6,1,4.8,MEDIUM,2.8,6.1
PRJ-1002,Airport,Rajasthan,2887.05,45,90.8,79.7,11.1,89.2,1.119,65.9,59.7,54.2,67.0,70,87.3,2,6.8,2,6.5,HIGH,5.6,15.1
PRJ-1003,Bridge,Karnataka,1122.38,63,33.3,13.8,19.5,17.1,1.239,70.0,67.2,63.6,65.9,91,42.9,1,6.7,1,7.1,HIGH,6.9,14.4
PRJ-1004,Railway,Himachal Pradesh,2429.78,53,31.9,31.6,0.3,33.3,1.054,92.3,89.8,88.2,90.5,1,100.0,1,2.4,0,1.5,LOW,0.2,0.6
PRJ-1005,Railway,Odisha,5037.34,25,60.4,43.0,17.4,50.8,1.181,68.6,64.3,57.8,68.6,98,66.9,1,4.0,2,5.1,HIGH,5.8,13.0
PRJ-1006,Highway,Maharashtra,917.65,21,25.5,15.6,9.9,17.7,1.135,69.9,65.7,64.1,57.3,82,58.1,6,6.5,1,5.6,HIGH,7.7,13.9
PRJ-1007,Railway,West Bengal,2179.58,41,60.2,60.2,0.0,62.4,1.037,90.8,89.2,96.4,85.8,1,98.7,0,1.8,0,2.2,LOW,0.0,1.5
PRJ-1008,Bridge,Uttarakhand,1898.92,55,62.7,57.5,5.2,61.8,1.075,75.4,82.0,79.1,75.2,32,90.2,3,6.0,0,2.9,MEDIUM,2.8,4.7
PRJ-1009,Highway,Himachal Pradesh,2563.58,42,29.9,29.9,0.0,29.2,0.977,98.2,97.4,91.1,86.5,4,100.0,1,2.7,0,1.4,LOW,0.0,1.6
PRJ-1010,Bridge,Himachal Pradesh,3174.41,38,66.2,48.2,18.0,55.8,1.158,52.1,43.3,35.2,35.6,113,70.4,1,7.3,5,7.8,CRITICAL,14.5,23.9
PRJ-1011,Water Supply,Rajasthan,463.02,33,65.8,39.2,26.6,50.6,1.291,70.7,60.3,68.5,63.3,83,59.5,4,4.7,3,6.3,HIGH,5.5,15.5
PRJ-1012,Power Infrastructure,Madhya Pradesh,7521.73,18,25.4,18.1,7.3,20.3,1.122,75.8,77.3,77.6,72.7,38,71.4,2,2.7,1,3.9,MEDIUM,1.8,8.6
PRJ-1013,Highway,Bihar,3433.27,39,85.8,80.2,5.6,86.6,1.08,83.2,79.7,82.5,77.0,41,89.9,2,3.9,1,3.5,MEDIUM,2.5,7.0
PRJ-1014,Water Supply,Andhra Pradesh,1645.57,12,39.6,38.1,1.5,39.5,1.037,83.8,72.9,78.2,76.4,26,96.8,0,3.6,1,4.7,MEDIUM,1.9,6.3
PRJ-1015,Airport,Karnataka,12705.83,55,49.4,48.4,1.0,46.9,0.969,90.8,93.1,96.6,87.0,6,99.1,0,1.7,0,2.1,LOW,0.6,0.6
PRJ-1016,Bridge,Andhra Pradesh,476.1,23,28.4,13.4,15.0,15.8,1.179,68.7,64.0,61.6,55.6,114,49.5,3,3.4,3,5.1,HIGH,6.4,14.5
PRJ-1017,Railway,Tamil Nadu,8266.16,64,68.8,38.9,29.9,51.6,1.326,50.4,48.1,47.5,34.8,167,55.1,4,8.7,2,7.2,CRITICAL,10.5,24.3
